sample_accession	hq_filter	sylph_species	country	collection_date
SAMEA7838856	PASS	Neisseria meningitidis		
SAMEA8497727	PASS	Neisseria meningitidis		
SAMEA2628892	PASS	Neisseria meningitidis		
SAMEA4948263	PASS	Neisseria meningitidis		
SAMEA4948659	PASS	Neisseria meningitidis		
SAMEA5749015	PASS	Neisseria meningitidis		
SAMEA6226958	PASS	Neisseria meningitidis		
SAMEA7838503	PASS	Neisseria meningitidis		
SAMEA111426014	PASS	Neisseria meningitidis		
SAMEA3503380	PASS	Neisseria meningitidis		
SAMEA4948194	PASS	Neisseria meningitidis		
SAMEA4948842	PASS	Neisseria meningitidis		
SAMEA6102739	PASS	Neisseria meningitidis		
SAMEA6102761	PASS	Neisseria meningitidis		
SAMEA7838582	PASS	Neisseria meningitidis		
SAMN41091884	PASS	Neisseria meningitidis	USA: Florida	2024-03-09
SAMEA7838510	PASS	Neisseria meningitidis		
SAMEA7838598	PASS	Neisseria meningitidis		
SAMN44030923	PASS	Neisseria meningitidis	New Zealand	2002
SAMEA104105427	PASS	Neisseria meningitidis		
SAMEA104283958	PASS	Neisseria meningitidis		
SAMEA2673983	PASS	Neisseria meningitidis		
SAMN29407325	PASS	Neisseria meningitidis	USA	2008
SAMN32816101	PASS	Neisseria meningitidis	USA	2019
SAMEA104189092	PASS	Neisseria meningitidis	United Kingdom	2015
SAMEA4948876	PASS	Neisseria meningitidis		
SAMEA7838318	PASS	Neisseria meningitidis		
SAMEA2299102	PASS	Neisseria meningitidis		
SAMEA2673928	PASS	Neisseria meningitidis		
SAMEA2674239	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA3503663	SYLPH_RESULTS_FAIL	unknown		
SAMEA4948036	PASS	Neisseria meningitidis		
SAMEA4948770	PASS	Neisseria meningitidis		
SAMEA104283956	PASS	Neisseria meningitidis		
SAMEA1523228	PASS	Neisseria meningitidis	United Kingdom	2010
SAMEA7838890	PASS	Neisseria meningitidis		
SAMEA110070802	PASS	Neisseria meningitidis		
SAMEA1677450	PASS	Neisseria meningitidis		
SAMEA4719167	PASS	Neisseria meningitidis		
SAMN10275971	PASS	Neisseria meningitidis	Not applicable	2014
SAMN14501189	PASS	Neisseria meningitidis	USA	2015
SAMEA3432293	PASS	Neisseria meningitidis		
SAMEA6227705	PASS	Neisseria meningitidis		
SAMEA6538712	PASS	Neisseria meningitidis		
SAMEA7741010	PASS	Neisseria meningitidis		
SAMN37720370	PASS	Neisseria meningitidis	China: Jiangsu	2016
SAMEA1904438	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2820774	PASS	Neisseria meningitidis		
SAMEA3879270	PASS	Neisseria meningitidis		
SAMEA4947950	PASS	Neisseria meningitidis		
SAMEA4948489	PASS	Neisseria meningitidis		
SAMEA4948857	PASS	Neisseria meningitidis		
SAMEA4948789	PASS	Neisseria meningitidis		
SAMEA7740983	PASS	Neisseria meningitidis		
SAMEA7838504	PASS	Neisseria meningitidis		
SAMN44030904	PASS	Neisseria meningitidis	New Zealand	1997
SAMEA8497833	PASS	Neisseria meningitidis		
SAMN38502752	PASS	Neisseria meningitidis	Australia: Sydney	2021
SAMN42001097	PASS	Neisseria meningitidis	Belgium	2022-12-08
SAMEA3879316	PASS	Neisseria meningitidis		
SAMEA2820754	PASS	Neisseria meningitidis		
SAMN42000688	PASS	Neisseria meningitidis	Belgium	2016-12-06
SAMEA3947014	PASS	Neisseria meningitidis		
SAMEA7741105	PASS	Neisseria meningitidis		
SAMEA7838440	PASS	Neisseria meningitidis		
SAMEA7838671	PASS	Neisseria meningitidis		
SAMEA3432411	PASS	Neisseria meningitidis		
SAMN29407195	PASS	Neisseria meningitidis	USA	2004
SAMN29756944	PASS	Neisseria meningitidis	USA	2015
SAMEA3503580	PASS	Neisseria meningitidis		
SAMEA4361321	PASS	Neisseria meningitidis		
SAMEA4948001	CHECKM2_MAX_CONTAM,SYLPH_RESULTS_FAIL	unknown		
SAMEA4948730	PASS	Neisseria meningitidis		
SAMEA6460702	PASS	Neisseria meningitidis		
SAMEA678046	PASS	Neisseria meningitidis		
SAMN08874871	PASS	Neisseria meningitidis	New Zealand	1991
SAMN29407017	PASS	Neisseria meningitidis	USA	2001
SAMEA1522888	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA1904561	PASS	Neisseria meningitidis	United Kingdom	2012
SAMEA2820775	PASS	Neisseria meningitidis		
SAMEA678017	PASS	Neisseria meningitidis		
SAMEA8114270	PASS	Neisseria meningitidis		
SAMN29757043	PASS	Neisseria meningitidis	USA	2016
SAMN32815779	PASS	Neisseria meningitidis	USA	2018
SAMEA110070731	PASS	Neisseria meningitidis		
SAMEA2673811	PASS	Neisseria meningitidis		
SAMEA8114353	PASS	Neisseria meningitidis		
SAMEA8497774	PASS	Neisseria meningitidis		
SAMN44030962	PASS	Neisseria meningitidis	New Zealand	2006
SAMEA4948866	PASS	Neisseria meningitidis		
SAMN09011440	PASS	Neisseria meningitidis	USA	2012
SAMEA3880159	PASS	Neisseria meningitidis		
SAMEA6574430	PASS	Neisseria meningitidis		
SAMEA2820755	PASS	Neisseria meningitidis		
SAMN29126941	PASS	Neisseria meningitidis	New Zealand	2021
SAMEA113429908	PASS	Neisseria meningitidis		
SAMEA7838486	PASS	Neisseria meningitidis		
SAMEA8114199	PASS	Neisseria meningitidis		
SAMEA103982886	PASS	Neisseria meningitidis		
SAMEA111347823	PASS	Neisseria meningitidis	Norway	2009-03-25
SAMEA3432359	PASS	Neisseria meningitidis		
SAMEA4495702	PASS	Neisseria meningitidis		
SAMEA4948742	PASS	Neisseria meningitidis		
SAMEA7838361	PASS	Neisseria meningitidis		
SAMEA7838471	PASS	Neisseria meningitidis		
SAMEA8114240	PASS	Neisseria meningitidis		
SAMEA1523027	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2271745	PASS	Neisseria meningitidis		
SAMEA4719370	PASS	Neisseria meningitidis		
SAMEA4948208	PASS	Neisseria meningitidis		
SAMEA4948210	PASS	Neisseria meningitidis		
SAMN29407042	PASS	Neisseria meningitidis	USA	2002
SAMN35339243	PASS	Neisseria meningitidis	New Zealand	1990
SAMN42001079	PASS	Neisseria meningitidis	Belgium	2022-07-19
SAMEA113563130	PASS	Neisseria meningitidis		
SAMEA7740982	PASS	Neisseria meningitidis		
SAMEA7741038	PASS	Neisseria meningitidis		
SAMEA7741053	PASS	Neisseria meningitidis		
SAMN03944749	PASS	Neisseria meningitidis	Germany	2002
SAMN29756918	PASS	Neisseria meningitidis	USA	2015
SAMEA6538995	PASS	Neisseria meningitidis		
SAMEA7838987	PASS	Neisseria meningitidis		
SAMEA8114327	PASS	Neisseria meningitidis		
SAMEA114392419	PASS	Neisseria meningitidis	Portugal	2019
SAMEA1402110	PASS	Neisseria meningitidis		
SAMEA2074112	PASS	Neisseria meningitidis		
SAMEA4413123	PASS	Neisseria meningitidis		
SAMEA4948732	PASS	Neisseria meningitidis		
SAMEA7838487	PASS	Neisseria meningitidis		
SAMEA4948422	PASS	Neisseria meningitidis		
SAMEA3503374	PASS	Neisseria meningitidis		
SAMEA4948588	PASS	Neisseria meningitidis		
SAMEA8114108	PASS	Neisseria meningitidis		
SAMN13450907	PASS	Neisseria meningitidis	New Zealand	2017
SAMEA2820832	PASS	Neisseria meningitidis		
SAMN10701624	PASS	Neisseria meningitidis	USA	2018
SAMEA13635354	PASS	Neisseria meningitidis		
SAMEA3503398	PASS	Neisseria meningitidis		
SAMEA3503630	SYLPH_RESULTS_FAIL	unknown		
SAMEA5661108	PASS	Neisseria meningitidis		
SAMEA5661304	PASS	Neisseria meningitidis		
SAMEA4493249	PASS	Neisseria meningitidis		
SAMEA4948406	PASS	Neisseria meningitidis		
SAMEA4948769	PASS	Neisseria meningitidis		
SAMEA6538978	PASS	Neisseria meningitidis		
SAMEA8114134	PASS	Neisseria meningitidis		
SAMN25819715	PASS	Neisseria meningitidis	New Zealand	2020
SAMEA3507175	PASS	Neisseria meningitidis		
SAMEA4948429	PASS	Neisseria meningitidis		
SAMEA4948548	PASS	Neisseria meningitidis		
SAMEA4948850	PASS	Neisseria meningitidis		
SAMEA5661337	PASS	Neisseria meningitidis		
SAMEA5748018	PASS	Neisseria meningitidis		
SAMEA8114349	PASS	Neisseria meningitidis		
SAMEA7838381	PASS	Neisseria meningitidis		
SAMEA8114091	PASS	Neisseria meningitidis		
SAMN17286648	PASS	Neisseria meningitidis	USA: Maryland	2007
SAMEA2674175	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA8114423	PASS	Neisseria meningitidis		
SAMEA111348032	PASS	Neisseria meningitidis	Norway	2001-11-12
SAMEA2820835	PASS	Neisseria meningitidis		
SAMEA4948759	PASS	Neisseria meningitidis		
SAMEA5757489	PASS	Neisseria meningitidis		
SAMEA7741146	PASS	Neisseria meningitidis		
SAMEA7838531	PASS	Neisseria meningitidis		
SAMEA104483017	PASS	Neisseria meningitidis		
SAMEA110070784	PASS	Neisseria meningitidis		
SAMEA1522823	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA4948447	PASS	Neisseria meningitidis		
SAMEA6227717	PASS	Neisseria meningitidis		
SAMEA7838520	PASS	Neisseria meningitidis		
SAMEA7839014	PASS	Neisseria meningitidis		
SAMEA2674042	PASS	Neisseria meningitidis		
SAMEA7838876	PASS	Neisseria meningitidis		
SAMEA8114360	PASS	Neisseria meningitidis		
SAMEA13635349	PASS	Neisseria meningitidis		
SAMEA2299213	PASS	Neisseria meningitidis		
SAMEA3497513	PASS	Neisseria meningitidis		
SAMEA4947978	PASS	Neisseria meningitidis		
SAMEA4948758	PASS	Neisseria meningitidis		
SAMEA7838343	PASS	Neisseria meningitidis		
SAMEA7838382	PASS	Neisseria meningitidis		
SAMEA111347989	PASS	Neisseria meningitidis	Norway	2006-11-10
SAMEA4948027	PASS	Neisseria meningitidis		
SAMEA4948226	PASS	Neisseria meningitidis		
SAMEA5749149	PASS	Neisseria meningitidis		
SAMEA5757444	PASS	Neisseria meningitidis		
SAMEA8497741	PASS	Neisseria meningitidis		
SAMEA2048194	PASS	Neisseria meningitidis	United Kingdom	2012
SAMEA4948151	PASS	Neisseria meningitidis		
SAMEA4948777	PASS	Neisseria meningitidis		
SAMEA7838802	PASS	Neisseria meningitidis		
SAMEA1677330	PASS	Neisseria meningitidis		
SAMEA3503054	SYLPH_RESULTS_FAIL	unknown		
SAMEA7838303	PASS	Neisseria meningitidis		
SAMEA7838695	PASS	Neisseria meningitidis		
SAMEA7838838	PASS	Neisseria meningitidis		
SAMN44031003	PASS	Neisseria meningitidis	New Zealand	2014
SAMEA2674098	PASS	Neisseria meningitidis		
SAMEA4386498	PASS	Neisseria meningitidis		
SAMEA4948033	PASS	Neisseria meningitidis		
SAMEA4948161	PASS	Neisseria meningitidis		
SAMEA4948503	PASS	Neisseria meningitidis		
SAMEA7838826	PASS	Neisseria meningitidis		
SAMEA8114110	PASS	Neisseria meningitidis		
SAMN44030907	PASS	Neisseria meningitidis	New Zealand	1998
SAMEA115428124	PASS	Neisseria meningitidis	United Kingdom	2019
SAMEA2674007	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA2820907	PASS	Neisseria meningitidis		
SAMEA4027956	PASS	Neisseria meningitidis		
SAMEA7838379	PASS	Neisseria meningitidis		
SAMEA1706889	PASS	Neisseria meningitidis		
SAMEA4719435	PASS	Neisseria meningitidis		
SAMEA4948606	PASS	Neisseria meningitidis		
SAMEA7838324	PASS	Neisseria meningitidis		
SAMN44030961	PASS	Neisseria meningitidis	New Zealand	2006
SAMEA114392485	PASS	Neisseria meningitidis	Portugal	2020
SAMEA4719231	PASS	Neisseria meningitidis		
SAMEA7838736	PASS	Neisseria meningitidis		
SAMEA2674463	PASS	Neisseria meningitidis		
SAMEA5661035	PASS	Neisseria meningitidis		
SAMEA7838288	PASS	Neisseria meningitidis		
SAMEA7838895	PASS	Neisseria meningitidis		
SAMEA2674460	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA8114212	PASS	Neisseria meningitidis		
SAMN14469802	PASS	Neisseria meningitidis	USA	2015
SAMN42000674	PASS	Neisseria meningitidis	Belgium	2016-09-19
SAMN42001078	PASS	Neisseria meningitidis	Belgium	2022-07-18
SAMEA2629114	PASS	Neisseria meningitidis		
SAMEA2674304	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA4386616	PASS	Neisseria meningitidis		
SAMEA4948410	PASS	Neisseria meningitidis		
SAMEA8114263	PASS	Neisseria meningitidis		
SAMEA678364	PASS	Neisseria meningitidis		
SAMEA104416670	PASS	Neisseria meningitidis		
SAMEA2299187	PASS	Neisseria meningitidis		
SAMEA112857015	PASS	Neisseria meningitidis		
SAMEA1523150	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA4948863	PASS	Neisseria meningitidis		
SAMEA7741106	PASS	Neisseria meningitidis		
SAMEA7838292	PASS	Neisseria meningitidis		
SAMN15162681	PASS	Neisseria meningitidis	New Zealand	2019
SAMN29407210	PASS	Neisseria meningitidis	USA	2005
SAMEA111425979	PASS	Neisseria meningitidis		
SAMEA1402042	PASS	Neisseria meningitidis		
SAMEA2049640	PASS	Neisseria meningitidis	United Kingdom	2012
SAMEA2629080	PASS	Neisseria meningitidis		
SAMEA3497486	CHECKM2_MAX_CONTAM,SYLPH_RESULTS_FAIL	unknown		
SAMEA7838728	PASS	Neisseria meningitidis		
SAMEA1706771	PASS	Neisseria meningitidis		
SAMEA4948219	PASS	Neisseria meningitidis		
SAMEA4948329	PASS	Neisseria meningitidis		
SAMEA6227314	PASS	Neisseria meningitidis		
SAMN13450961	PASS	Neisseria meningitidis	New Zealand	2017
SAMN29407100	CHECKM2_MAX_CONTAM	Neisseria meningitidis	USA	2003
SAMEA104189264	PASS	Neisseria meningitidis	United Kingdom	2015
SAMEA7838454	PASS	Neisseria meningitidis		
SAMEA7838527	PASS	Neisseria meningitidis		
SAMN14500627	PASS	Neisseria meningitidis	USA	2015
SAMEA2820779	PASS	Neisseria meningitidis		
SAMEA2820794	PASS	Neisseria meningitidis		
SAMN14469525	PASS	Neisseria meningitidis	USA	2016
SAMN14469610	PASS	Neisseria meningitidis	USA	2015
SAMN44030976	PASS	Neisseria meningitidis	New Zealand	2007
SAMEA104189132	PASS	Neisseria meningitidis	United Kingdom	2015
SAMEA4948319	PASS	Neisseria meningitidis		
SAMN44030956	PASS	Neisseria meningitidis	New Zealand	2006
SAMEA2820837	PASS	Neisseria meningitidis		
SAMEA3503164	PASS	Neisseria meningitidis		
SAMEA7838561	PASS	Neisseria meningitidis		
SAMN13451013	PASS	Neisseria meningitidis	New Zealand	2018
SAMN32815849	PASS	Neisseria meningitidis	USA	2018
SAMEA2047608	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2820822	PASS	Neisseria meningitidis		
SAMEA4948453	PASS	Neisseria meningitidis		
SAMEA8114389	PASS	Neisseria meningitidis		
SAMEA3506888	PASS	Neisseria meningitidis		
SAMEA3506961	PASS	Neisseria meningitidis		
SAMN14469481	PASS	Neisseria meningitidis	USA	2016
SAMEA113429860	PASS	Neisseria meningitidis		
SAMEA3432166	PASS	Neisseria meningitidis		
SAMEA4947987	PASS	Neisseria meningitidis		
SAMEA4948754	PASS	Neisseria meningitidis		
SAMEA7741095	PASS	Neisseria meningitidis		
SAMEA7839019	PASS	Neisseria meningitidis		
SAMN32815645	PASS	Neisseria meningitidis	USA	2017
SAMEA104060985	PASS	Neisseria meningitidis		
SAMEA2298983	PASS	Neisseria meningitidis		
SAMEA4948541	PASS	Neisseria meningitidis		
SAMEA7838928	PASS	Neisseria meningitidis		
SAMEA2673864	PASS	Neisseria meningitidis		
SAMEA4361243	PASS	Neisseria meningitidis		
SAMEA7741141	PASS	Neisseria meningitidis		
SAMEA7838536	PASS	Neisseria meningitidis		
SAMEA1706871	PASS	Neisseria meningitidis		
SAMEA2674362	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA3432178	PASS	Neisseria meningitidis		
SAMEA4948452	PASS	Neisseria meningitidis		
SAMEA4948771	PASS	Neisseria meningitidis		
SAMEA103982731	PASS	Neisseria meningitidis		
SAMEA2271440	PASS	Neisseria meningitidis		
SAMEA3503759	PASS	Neisseria meningitidis		
SAMEA4948580	PASS	Neisseria meningitidis		
SAMEA5748544	PASS	Neisseria meningitidis		
SAMEA7741139	PASS	Neisseria meningitidis		
SAMEA8114079	PASS	Neisseria meningitidis		
SAMN29407068	PASS	Neisseria meningitidis	USA	2002
SAMEA111347944	PASS	Neisseria meningitidis	Norway	2001-03-05
SAMEA5757425	PASS	Neisseria meningitidis		
SAMEA7838760	PASS	Neisseria meningitidis		
SAMN13450914	PASS	Neisseria meningitidis	New Zealand	2017
SAMEA111379281	PASS	Neisseria meningitidis		
SAMEA3507014	PASS	Neisseria meningitidis		
SAMEA7838547	PASS	Neisseria meningitidis		
SAMEA8497805	PASS	Neisseria meningitidis		
SAMN29407134	PASS	Neisseria meningitidis	USA	2003
SAMEA3503673	PASS	Neisseria meningitidis		
SAMEA6227197	PASS	Neisseria meningitidis		
SAMEA7838551	PASS	Neisseria meningitidis		
SAMEA7838983	PASS	Neisseria meningitidis		
SAMN29407052	PASS	Neisseria meningitidis	USA	2002
SAMN41083601	SYLPH_RESULTS_FAIL	unknown	New Zealand	2023
SAMEA4948657	PASS	Neisseria meningitidis		
SAMEA8114392	PASS	Neisseria meningitidis		
SAMEA8114399	PASS	Neisseria meningitidis		
SAMN32815489	PASS	Neisseria meningitidis	USA	2016
SAMEA4063167	PASS	Neisseria meningitidis		
SAMEA7838776	PASS	Neisseria meningitidis		
SAMEA8114410	PASS	Neisseria meningitidis		
SAMEA1522978	PASS	Neisseria meningitidis		
SAMEA1706908	PASS	Neisseria meningitidis		
SAMEA2629229	PASS	Neisseria meningitidis		
SAMEA4948628	PASS	Neisseria meningitidis		
SAMEA8114393	PASS	Neisseria meningitidis		
SAMN13450790	PASS	Neisseria meningitidis	New Zealand	2014
SAMEA2271673	PASS	Neisseria meningitidis		
SAMEA7838309	PASS	Neisseria meningitidis		
SAMEA7838641	PASS	Neisseria meningitidis		
SAMEA7838653	PASS	Neisseria meningitidis		
SAMEA103982891	PASS	Neisseria meningitidis		
SAMEA7741123	PASS	Neisseria meningitidis		
SAMN29407275	PASS	Neisseria meningitidis	USA	2006
SAMN44030960	PASS	Neisseria meningitidis	New Zealand	2006
SAMEA1401942	PASS	Neisseria meningitidis		
SAMEA1904471	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA2674554	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMN17286595	PASS	Neisseria meningitidis	USA: Maryland	2006
SAMEA2629126	PASS	Neisseria meningitidis		
SAMEA6538917	PASS	Neisseria meningitidis		
SAMEA7838348	PASS	Neisseria meningitidis		
SAMEA8114198	PASS	Neisseria meningitidis		
SAMN26138107	PASS	Neisseria meningitidis	Taiwan	2007-07-19
SAMEA114226789	PASS	Neisseria meningitidis	United Kingdom	2022
SAMEA1522941	PASS	Neisseria meningitidis	United Kingdom	2010
SAMEA2674458	PASS	Neisseria meningitidis	Netherlands	2006/2012
SAMEA4948285	PASS	Neisseria meningitidis		
SAMEA7838585	PASS	Neisseria meningitidis		
SAMN29407250	PASS	Neisseria meningitidis	USA	2003
SAMN42000874	PASS	Neisseria meningitidis	Belgium	2018-12-04
SAMEA1523041	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA1523227	PASS	Neisseria meningitidis	United Kingdom	2011
SAMEA4948688	PASS	Neisseria meningitidis		
SAMEA5757514	PASS	Neisseria meningitidis		
SAMEA7838719	PASS	Neisseria meningitidis		
SAMEA7838737	PASS	Neisseria meningitidis		
SAMEA8114101	PASS	Neisseria meningitidis		
SAMEA111347586	PASS	Neisseria meningitidis	Norway	2000-11-11
SAMEA4948828	PASS	Neisseria meningitidis		
SAMEA5366446	PASS	Neisseria meningitidis	Czech Republic	2015-10
SAMEA8114129	PASS	Neisseria meningitidis		
SAMEA2820747	PASS	Neisseria meningitidis		
SAMEA4948241	PASS	Neisseria meningitidis		
SAMN29407172	PASS	Neisseria meningitidis	USA	2004
SAMEA111347757	PASS	Neisseria meningitidis	Norway	2006-05-17
SAMEA3109129	PASS	Neisseria meningitidis		
SAMEA4948367	PASS	Neisseria meningitidis		
SAMEA4948736	PASS	Neisseria meningitidis		
SAMEA8114272	SYLPH_RESULTS_FAIL	unknown		
SAMN26138097	PASS	Neisseria meningitidis	Taiwan	2007-02-07
SAMN29407326	PASS	Neisseria meningitidis	USA	2008
SAMEA115428206	PASS	Neisseria meningitidis	United Kingdom	2019
SAMEA4948256	PASS	Neisseria meningitidis		
SAMEA7838726	PASS	Neisseria meningitidis		
SAMN26138114	PASS	Neisseria meningitidis	Taiwan	2008-01-24
SAMEA104482916	PASS	Neisseria meningitidis		
SAMEA4948330	PASS	Neisseria meningitidis		
SAMEA4948443	PASS	Neisseria meningitidis		
SAMEA4948634	PASS	Neisseria meningitidis		
SAMN14500674	PASS	Neisseria meningitidis	USA	2015
SAMN25819712	PASS	Neisseria meningitidis	New Zealand	2020
SAMN32815404	PASS	Neisseria meningitidis	USA	2016
SAMEA102406918	PASS	Neisseria meningitidis		
SAMN13450911	PASS	Neisseria meningitidis	New Zealand	2017
SAMN15162637	PASS	Neisseria meningitidis	New Zealand	2019
SAMN29406944	PASS	Neisseria meningitidis	USA	2000
SAMEA2271569	PASS	Neisseria meningitidis		
SAMEA2674485	PASS	Neisseria meningitidis		
SAMEA4948480	PASS	Neisseria meningitidis		
SAMEA4948529	PASS	Neisseria meningitidis		
SAMEA7741061	PASS	Neisseria meningitidis		
SAMEA7838491	PASS	Neisseria meningitidis		
SAMEA7838660	PASS	Neisseria meningitidis		
SAMEA7838974	PASS	Neisseria meningitidis		
SAMEA1904575	PASS	Neisseria meningitidis	United Kingdom	2012
SAMEA4948141	PASS	Neisseria meningitidis		
